GEO_ID,NAME,DP05_0033E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0071E,,
id,Geographic Area Name,total population,white,black or african american,american indian and alaska native,asian,hispanic latino,,
310M400US14140,"Bluefield, WV-VA Micro Area",99986,N,N,N,N,754,,
310M400US14660,"Brainerd, MN Micro Area",94408,86294,544,4689,471,1098,,
310M400US15540,"Burlington-South Burlington, VT Metro Area",220612,200654,3898,456,8360,4896,,
310M400US16700,"Charleston-North Charleston, SC Metro Area",787643,533511,200787,2182,14163,44854,,
310M400US16940,"Cheyenne, WY Metro Area",98976,90038,2005,686,1611,14644,,
310M400US17900,"Columbia, SC Metro Area",833165,494509,274865,1924,18342,46413,,
310M400US19300,"Daphne-Fairhope-Foley, AL Metro Area",218022,187759,20554,1276,2338,10132,,
310M400US19460,"Decatur, AL Metro Area",152046,116854,21102,2132,659,10432,,
310M400US19820,"Detroit-Warren-Dearborn, MI Metro Area",4326442,2994876,962940,13225,198002,197142,,
310M400US20180,"DuBois, PA Micro Area",79388,74891,1896,263,362,2387,,
310M400US20220,"Dubuque, IA Metro Area",96854,90011,2548,312,1318,2438,,
310M400US22300,"Findlay, OH Micro Area",75930,69877,1198,0,1384,4218,,
310M400US23460,"Gadsden, AL Metro Area",102501,81129,17474,209,862,4116,,
310M400US23540,"Gainesville, FL Metro Area",288711,204310,53517,970,17081,29577,,
310M400US23900,"Gettysburg, PA Metro Area",102811,96606,1281,359,770,7307,,
310M400US24300,"Grand Junction, CO Metro Area",153207,143773,1426,2200,1956,22657,,
310M400US24500,"Great Falls, MT Metro Area",81643,71351,1416,3319,675,3747,,
310M400US24660,"Greensboro-High Point, NC Metro Area",767711,479670,204289,4581,29269,65930,,
310M400US25220,"Hammond, LA Metro Area",133777,89592,39782,188,1109,5855,,
310M400US25860,"Hickory-Lenoir-Morganton, NC Metro Area",368416,309924,24242,1452,11095,27841,,
310M400US25900,"Hilo, HI Micro Area",200983,65322,1487,917,45875,26030,,
310M400US26020,"Hobbs, NM Micro Area",69611,63369,2597,546,732,41323,,
310M400US26140,"Homosassa Springs, FL Metro Area",147929,136707,4284,430,2155,8800,,
310M400US26660,"Huntsville, TX Micro Area",84993,65037,17054,48,1965,13785,,
310M400US26740,"Hutchinson, KS Micro Area",62342,56783,1885,680,342,6035,,
310M400US26820,"Idaho Falls, ID Metro Area",149051,135259,387,1015,1316,18619,,
310M400US27100,"Jackson, MI Metro Area",158823,138207,12464,418,1421,5726,,
310M400US27500,"Janesville-Beloit, WI Metro Area",163129,140071,6476,637,2059,14541,,
310M400US27980,"Kahului-Wailuku-Lahaina, HI Metro Area",167295,57518,1207,306,50436,19231,,
310M400US28180,"Kapaa, HI Micro Area",72133,22378,127,242,24320,8083,,
310M400US28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",306562,291947,5753,200,1615,4659,,
310M400US29180,"Lafayette, LA Metro Area",489364,346212,124418,613,7410,19821,,
310M400US29200,"Lafayette-West Lafayette, IN Metro Area",222676,186524,10911,671,15628,17952,,
310M400US29300,"LaGrange, GA Micro Area",70034,40980,26220,0,1622,2620,,
310M400US30140,"Lebanon, PA Metro Area",141314,121786,4366,47,2126,19476,,
310M400US30300,"Lewiston, ID-WA Metro Area",63018,57317,5,3141,449,3606,,
310M400US30340,"Lewiston-Auburn, ME Metro Area",107679,98471,3184,66,757,2134,,
310M400US30860,"Logan, UT-ID Metro Area",141476,129144,991,761,3066,14853,,
310M400US31020,"Longview, WA Metro Area",108987,95325,714,3164,1376,9975,,
310M400US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13291486,7107103,871348,89302,2158975,6003538,,
310M400US31420,"Macon-Bibb County, GA Metro Area",226680,116930,96898,280,4773,6238,,
310M400US33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6198782,4301983,1309196,14420,159552,2841433,,
310M400US34380,"Mount Pleasant, MI Micro Area",70562,61141,1787,3172,1333,2813,,
310M400US34900,"Napa, CA Metro Area",139417,106436,2237,1011,12249,48101,,
310M400US36140,"Ocean City, NJ Metro Area",92560,82013,3564,16,1088,7300,,
310M400US36220,"Odessa, TX Metro Area",162124,125268,8257,925,2276,99444,,
310M400US38240,"Pinehurst-Southern Pines, NC Micro Area",98682,81692,10406,537,1672,6709,,
310M400US38940,"Port St. Lucie, FL Metro Area",482040,369704,75917,316,8961,85209,,
310M400US39740,"Reading, PA Metro Area",420152,349164,21274,384,6085,92169,,
310M400US40220,"Roanoke, VA Metro Area",314515,251800,41285,433,6084,10695,,
310M400US40380,"Rochester, NY Metro Area",1071082,865129,121286,3859,31770,81092,,
310M400US41100,"St. George, UT Metro Area",171700,157786,1160,2589,1926,18185,,
