GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C02_001E,S1901_C02_001M,S1901_C03_001E,S1901_C03_001M,S1901_C04_001E,S1901_C04_001M,S1901_C01_002E,S1901_C01_002M,S1901_C02_002E,S1901_C02_002M,S1901_C03_002E,S1901_C03_002M,S1901_C04_002E,S1901_C04_002M,S1901_C01_003E,S1901_C01_003M,S1901_C02_003E,S1901_C02_003M,S1901_C03_003E,S1901_C03_003M,S1901_C04_003E,S1901_C04_003M,S1901_C01_004E,S1901_C01_004M,S1901_C02_004E,S1901_C02_004M,S1901_C03_004E,S1901_C03_004M,S1901_C04_004E,S1901_C04_004M,S1901_C01_005E,S1901_C01_005M,S1901_C02_005E,S1901_C02_005M,S1901_C03_005E,S1901_C03_005M,S1901_C04_005E,S1901_C04_005M,S1901_C01_006E,S1901_C01_006M,S1901_C02_006E,S1901_C02_006M,S1901_C03_006E,S1901_C03_006M,S1901_C04_006E,S1901_C04_006M,S1901_C01_007E,S1901_C01_007M,S1901_C02_007E,S1901_C02_007M,S1901_C03_007E,S1901_C03_007M,S1901_C04_007E,S1901_C04_007M,S1901_C01_008E,S1901_C01_008M,S1901_C02_008E,S1901_C02_008M,S1901_C03_008E,S1901_C03_008M,S1901_C04_008E,S1901_C04_008M,S1901_C01_009E,S1901_C01_009M,S1901_C02_009E,S1901_C02_009M,S1901_C03_009E,S1901_C03_009M,S1901_C04_009E,S1901_C04_009M,S1901_C01_010E,S1901_C01_010M,S1901_C02_010E,S1901_C02_010M,S1901_C03_010E,S1901_C03_010M,S1901_C04_010E,S1901_C04_010M,S1901_C01_011E,S1901_C01_011M,S1901_C02_011E,S1901_C02_011M,S1901_C03_011E,S1901_C03_011M,S1901_C04_011E,S1901_C04_011M,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C03_012M,S1901_C04_012E,S1901_C04_012M,S1901_C01_013E,S1901_C01_013M,S1901_C02_013E,S1901_C02_013M,S1901_C03_013E,S1901_C03_013M,S1901_C04_013E,S1901_C04_013M,S1901_C01_014E,S1901_C01_014M,S1901_C02_014E,S1901_C02_014M,S1901_C03_014E,S1901_C03_014M,S1901_C04_014E,S1901_C04_014M,S1901_C01_015E,S1901_C01_015M,S1901_C02_015E,S1901_C02_015M,S1901_C03_015E,S1901_C03_015M,S1901_C04_015E,S1901_C04_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_016E,S1901_C02_016M,S1901_C03_016E,S1901_C03_016M,S1901_C04_016E,S1901_C04_016M
310M400US33220,"Midland, MI Metro Area",34091,844,22495,1175,N,N,11596,1251,6.1,2.2,6.5,3.4,N,N,6.8,2.8,4.5,2,3.5,2.5,N,N,6.6,4,9.5,2.4,4.4,2.1,N,N,19.4,5.8,11.6,2.5,9.4,3,N,N,18.6,5,11.7,2.1,11.9,3.3,N,N,13.3,4.6,19,2.6,18.4,3,N,N,17.4,5.5,12.9,2.5,12.7,2.6,N,N,10.7,4.3,12.6,2.7,17.1,3.7,N,N,3.4,2.3,5.3,1.8,6.7,2.4,N,N,2.1,1.9,6.8,1.9,9.3,2.7,N,N,1.8,1.7,56091,3181,68950,5911,79156,7166,34427,3078,81508,7705,94594,9891,N,N,52729,12049,27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X)
310M400US34340,"Mount Airy, NC Micro Area",29230,1096,18984,1404,N,N,10246,1450,8.8,2.4,2.9,1.9,N,N,19.8,5.6,7.4,2.4,3.2,2.2,N,N,15.9,4.6,11.4,2.6,8.3,2.9,N,N,18.1,5.5,11.9,2.7,11.7,3.4,N,N,11.4,4.8,11.5,2.6,12.8,3.9,N,N,8.9,3.5,19.7,3.3,20.5,4.2,N,N,17.7,5.9,13.9,2.9,17.4,3.9,N,N,7.6,4.1,9,2,13.5,3,N,N,0.1,0.2,3.5,1.5,5.2,2.2,N,N,0.3,0.5,3,1.5,4.4,2.2,N,N,0.3,0.5,48398,8296,66438,4821,71738,5159,21804,6466,62494,6609,78815,9502,N,N,31577,3913,37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40,(X)
310M400US36660,"Opelousas, LA Micro Area",29965,1370,20018,1537,N,N,9947,1418,20.5,3.8,16.2,4.9,N,N,37,7.4,8.4,2.6,5.5,2.6,N,N,14.3,5.9,13.1,3.2,12.8,3.6,N,N,9.3,4.5,10,2.9,9.7,3.4,N,N,8,3.5,12.8,2.8,12.9,3.6,N,N,12,5.1,13.5,3,16,4,N,N,8.7,4.2,8.2,2.7,10.6,3.8,N,N,2.7,2.1,9.3,2.7,10.2,3.5,N,N,7.3,4.6,1.6,1.2,2.3,1.8,N,N,0,1.9,2.7,1.6,3.7,2.2,N,N,0.6,0.6,32867,5454,40932,4855,61677,7176,14375,3794,52090,6437,60571,9484,N,N,33015,7400,38.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X)
310M400US37260,"Palatka, FL Micro Area",27927,1726,17301,1553,N,N,10626,1593,6.9,2.2,3,1.6,N,N,14.1,5.1,9.4,3.6,4.5,2.5,N,N,19,7.8,14.4,4,9.1,4.2,N,N,23.4,8.7,13.6,3.4,10.4,4.3,N,N,19,5.9,15.4,3.7,18.3,5.3,N,N,9.4,4.7,17.8,4.4,24.7,6.7,N,N,5.6,3.9,9.8,3,13.1,4.4,N,N,4.5,3.3,8.7,2.5,11.1,4.2,N,N,4.4,3.4,2.5,1.8,3.8,2.9,N,N,0.1,0.2,1.4,0.8,2,1.2,N,N,0.5,0.8,41608,5256,53294,9294,63498,6760,22000,2609,55109,5102,67774,7599,N,N,32755,5448,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.8,(X)
310M400US37620,"Parkersburg-Vienna, WV Metro Area",38995,1047,24479,1565,N,N,14516,1424,7.2,2.1,4.2,2.2,N,N,12.7,3.9,6.2,1.7,2.5,1.4,N,N,12.4,4,15.9,2.7,12.2,2.9,N,N,25.8,4.9,11.9,3,8.8,3,N,N,15.8,4.4,14.3,2.9,15.1,3.7,N,N,11.4,4.2,15.7,2.7,18.8,3.3,N,N,10.2,3.7,11.8,3,15.4,4.3,N,N,5.3,3.1,10.5,2.1,14,3.3,N,N,4.3,2.2,4.2,1.1,6.1,1.8,N,N,0.5,0.6,2.3,1.2,2.8,1.3,N,N,1.5,2.2,44054,4520,57857,6700,68227,8878,24548,2894,59811,3566,72542,5260,N,N,36308,4535,35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
310M400US37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",182711,3612,121149,3715,87894,3895,61562,3238,5.8,0.9,3.6,0.9,1.5,0.7,10.9,2.1,3.7,1,1.7,0.8,1,0.8,8,2.1,8.7,1.1,5.6,1.3,3,0.9,14.7,2.3,9.1,1.1,7.2,1.2,5,1.3,13,2.4,16.4,1.8,14.6,2.3,12.6,2.1,20.2,3,19.3,1.7,20.5,2.3,19.8,2.6,16.8,2.6,13.5,1.4,16.8,2.1,18.6,2.5,6.4,1.8,13.9,1.2,17.2,1.5,22.2,2,7.1,2.1,4,0.8,5.2,1.2,6.6,1.5,1.5,1,5.5,0.8,7.6,1.3,9.7,1.6,1.2,0.7,57998,2383,70649,2569,83069,4345,36436,1526,77336,2771,90736,4077,105042,5097,48802,3300,32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29,(X)
310M400US38300,"Pittsburgh, PA Metro Area",1013812,5462,607307,8016,467810,6693,406505,7446,6.4,0.3,3.1,0.4,0.9,0.2,12.1,0.7,4.6,0.3,1.8,0.3,1,0.2,9.1,0.7,9.6,0.4,5.3,0.4,2.9,0.4,16.5,0.8,9.8,0.4,6.8,0.5,5,0.5,14.6,0.9,12.2,0.4,11,0.5,9.5,0.6,14.4,0.8,17.3,0.6,18.3,0.8,17.6,0.8,15.2,0.8,12.6,0.4,15.4,0.5,16.8,0.7,8.1,0.6,15.5,0.5,21.1,0.7,25,0.9,6.5,0.6,6,0.3,8.8,0.5,10.7,0.6,1.4,0.2,6,0.3,8.6,0.5,10.6,0.7,2,0.3,59710,982,80581,1282,93806,1693,32964,910,81726,1125,101498,1639,114950,2126,49991,1725,32.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),33,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X)
310M400US38860,"Portland-South Portland, ME Metro Area",228248,3570,137453,3931,112034,3801,90795,4149,4.3,0.8,1.8,0.6,0.9,0.4,8.7,1.7,4.2,0.8,1.1,0.5,0.9,0.4,8.9,1.6,7.3,1.1,2.9,0.9,2.2,0.9,14,2.2,7.8,0.7,6.4,1,5.1,1,11.1,1.4,11.9,1.1,10.3,1.2,8.5,1.3,14.8,2.1,17.5,1.4,16.4,1.7,15.5,1.9,19.4,2.2,14.9,1.2,17.7,1.6,18.3,1.8,9.8,1.6,17.8,1.1,23.6,1.9,25.2,2,8.4,1.3,7.6,0.8,10.5,1.2,12.3,1.5,2.9,1,6.6,0.7,9.3,1.1,11.1,1.3,2,0.7,69980,2307,89284,2822,98172,2935,41804,3223,88381,2471,107702,3212,N,N,55718,3218,30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X)
310M400US42860,"Seneca, SC Micro Area",31612,1579,19747,1821,N,N,11865,1407,8.8,2.6,6.8,3,N,N,14.1,4.9,5.2,1.9,1.7,1.4,N,N,11.4,4.4,14.1,3.7,5.9,3,N,N,26.7,7.8,12.7,3.6,8.5,3.7,N,N,18.7,7.5,11.6,2.9,13,4.1,N,N,9.3,3.9,18.1,3.7,22.9,5,N,N,10.2,4.2,10,2.5,12.9,3.2,N,N,5.8,3.6,12.3,2.5,17.8,3.4,N,N,2.4,2.2,2.8,1.4,4,2.2,N,N,0.7,1.2,4.3,1.6,6.5,2.5,N,N,0.7,1.3,47132,5959,62290,5028,73305,9663,23409,4735,64241,5048,81592,6832,N,N,34008,5158,29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
310M400US46340,"Tyler, TX Metro Area",77330,2129,54682,2590,41326,2707,22648,2328,9,1.8,5.2,1.7,2.6,1.6,20.7,4.9,4.7,1.4,3.3,1.7,2.4,1.9,8.1,3,8.4,1.5,5.4,1.7,4.3,1.9,13.6,3.4,7.5,1.5,7.9,2.2,5.5,1.9,8.8,3.2,13.4,2.1,11.8,2.2,8.1,2.1,18.3,5,18.2,2.6,19.2,3.2,20.2,4,13.3,3.9,12.9,1.9,14.1,2.5,16.1,3.2,10,3.7,16.1,2.3,20.4,3.1,25.2,4,4.6,2.4,4.5,1.2,5.5,1.5,6.7,1.9,2.2,1.4,5.4,1.2,7.5,1.6,8.8,2,0.3,0.6,58226,4793,69715,6764,86622,3672,33366,5608,80432,6535,95234,8961,N,N,42062,5313,42.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.5,(X)
