GEO_ID,Area Name_x,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino
id,Geographic Area Name,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0400000US19,Iowa,2104792,64952,97697,649269,434337,247997,413442,197098,1942143,610540,2846099,115137,11494,79971,30713,191473
0400000US33,New Hampshire,970748,23689,42821,269202,178227,99230,217282,140297,904238,357579,1253931,23432,3562,36048,9013,52648
0400000US44,Rhode Island,740695,34642,45944,210606,133241,61601,147507,107154,660109,254661,852805,70749,4341,36064,59743,168341
0400000US05,Arkansas,2021939,92515,166471,686867,450668,154143,296422,174853,1762953,471275,2306096,456714,20951,47548,84917,230300
0400000US10,Delaware,679700,26223,42858,225797,120182,51648,124178,88814,610619,212992,659781,217594,4397,39023,19652,91975
0400000US27,Minnesota,3809229,101742,151063,921287,791496,445513,920850,477278,3556424,1398128,4629375,367653,60983,273126,102814,308013
0400000US30,Montana,735761,13375,31704,205496,180384,71397,152448,80957,690682,233405,941438,5056,68013,8517,5828,41605
0400000US04,Arizona,4840304,256545,349389,1159297,1208158,428422,898032,540461,4234370,1438493,5590505,336340,330599,237873,373688,2266342
0400000US12,Florida,15302125,708872,1052860,4387954,3015699,1489510,2920459,1726771,13540393,4647230,15899574,3410741,59870,593634,708740,5562452
0400000US25,Massachusetts,4832728,211206,235098,1126183,741544,366687,1178868,973142,4386424,2152010,5335175,537523,16198,472403,303331,846780
0400000US11,District of Columbia,500176,16534,23094,82900,61530,13948,129782,172388,460548,302170,296747,319777,1932,27538,30897,79249
0400000US49,Utah,1871902,47361,94721,423407,462160,191808,427561,224884,1729820,652445,2708195,40365,34678,75898,171456,450220
0400000US36,New York,13672343,827890,929474,3546789,2083151,1193573,2846770,2244696,11914979,5091466,12375601,3069259,84312,1666113,1689845,3752523
