GEO_ID,Area Name_x,Total_Population over 25 years old,Less than 9th Grade,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino
id,Geographic Area Name,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
310M400US49420,"Yakima, WA Metro Area",152659,21182,21182,19329,42310,31566,12622,15520,10130,112148,25650,189035,3286,10696,2601,36258,125472
310M400US12220,"Auburn-Opelika, AL Metro Area",97653,1659,1659,6187,22215,23673,10432,19722,13765,89807,33487,115009,38323,453,6950,582,6164
310M400US14010,"Bloomington, IL Metro Area",117675,1188,1188,3725,29744,22832,9532,31565,19089,112762,50654,161398,14674,290,8986,1506,8894
310M400US14260,"Boise City, ID Metro Area",485224,16075,16075,21516,126113,120266,45316,105602,50336,447633,155938,641728,8395,5304,16700,32552,100029
310M400US16020,"Cape Girardeau, MO-IL Metro Area",61193,2799,2799,4460,21029,12943,3247,10410,6305,53934,16715,81699,7008,199,1682,143,1952
310M400US16540,"Chambersburg-Waynesboro, PA Metro Area",108906,4128,4128,8342,46739,15688,11247,13695,9067,96436,22762,143190,4897,66,671,596,9133
310M400US17420,"Cleveland, TN Metro Area",85709,5418,5418,8025,28636,19073,8364,9578,6615,72266,16193,111452,5157,39,854,3359,6995
310M400US22520,"Florence-Muscle Shoals, AL Metro Area",103229,3450,3450,9151,41580,19402,7697,13966,7983,90628,21949,123528,18998,364,904,1420,4110
310M400US34940,"Naples-Immokalee-Marco Island, FL Metro Area",288700,19638,19638,17734,67746,49545,23585,65301,45151,251328,110452,334685,26009,810,5521,7259,106743
310M400US41140,"St. Joseph, MO-KS Metro Area",87890,1650,1650,7543,34255,19598,5619,13785,5440,78697,19225,112978,6615,342,781,1743,6556
310M400US45780,"Toledo, OH Metro Area",402180,8854,8854,28078,129604,89580,38361,65469,42234,365248,107703,465606,84288,1660,9103,12370,42471
310M400US48700,"Williamsport, PA Metro Area",79981,1804,1804,5334,30323,13600,8912,13710,6298,72843,20008,104565,4872,292,858,499,2349
310M400US11500,"Anniston-Oxford-Jacksonville, AL Metro Area",79172,3061,3061,9060,25761,20815,6224,7914,6337,67051,14251,85046,24737,107,426,1182,4469
310M400US12300,"Augusta-Waterville, ME Micro Area",88711,2087,2087,3459,30197,20329,8558,15114,8967,83165,24081,116802,491,158,1389,180,1938
310M400US14700,"Branson, MO Micro Area",63701,1301,1301,6324,21164,17658,5034,8159,4061,56076,12220,81980,415,316,544,1635,4201
310M400US16860,"Chattanooga, TN-GA Metro Area",392345,16108,16108,30075,111166,92697,38029,66688,37582,346162,104270,454122,75469,1809,8714,2944,24348
310M400US18500,"Corning, NY Micro Area",68131,2126,2126,4361,25462,9761,9824,7953,8644,61644,16597,90696,1347,37,1564,507,1629
310M400US19060,"Cumberland, MD-WV Metro Area",69093,1155,1155,4668,29708,12950,7192,8224,5196,63270,13420,87425,7808,107,418,335,1366
310M400US19780,"Des Moines-West Des Moines, IA Metro Area",434042,14145,14145,15020,106623,82330,47109,117216,51599,404877,168815,565256,34432,1321,27912,7674,49294
310M400US22540,"Fond du Lac, WI Metro Area",72500,1387,1387,4385,25528,16340,9469,10990,4401,66728,15391,97095,2801,442,298,177,5426
310M400US25980,"Hinesville, GA Metro Area",47507,1403,1403,3364,16701,12735,5387,4859,3058,42740,7917,40310,25869,520,1101,3899,9113
310M400US26580,"Huntington-Ashland, WV-KY-OH Metro Area",246356,9410,9410,18046,89251,52686,21659,32033,23271,218900,55304,333412,9257,399,1805,936,3599
310M400US32740,"Meadville, PA Micro Area",59468,1614,1614,3268,28014,8678,5510,7889,4495,54586,12384,81136,870,69,344,189,1164
310M400US36700,"Orangeburg, SC Micro Area",59343,1362,1362,4891,20284,13134,9116,5901,4655,53090,10556,30177,52599,476,729,338,2054
310M400US38660,"Ponce, PR Metro Area",202167,31076,31076,15911,64614,15022,20539,41209,13796,155180,55005,203932,17733,481,336,41507,286290
310M400US39300,"Providence-Warwick, RI-MA Metro Area",1136569,62121,62121,74899,337138,203689,96239,217471,145012,999549,362483,1326533,95811,5094,49117,94970,215896
310M400US39540,"Racine, WI Metro Area",135530,4617,4617,7832,41409,30974,15809,22529,12360,123081,34889,161492,23401,541,2756,3525,26275
310M400US42200,"Santa Maria-Santa Barbara, CA Metro Area",277167,31214,31214,20166,52227,54026,23114,55568,40852,225787,96420,349976,9371,6202,24922,35392,204686
310M400US16820,"Charlottesville, VA Metro Area",159172,4656,4656,12085,33724,24865,7685,38028,38129,142431,76157,181088,31553,930,11277,941,11747
310M400US25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",153838,3550,3550,9012,38631,29221,11985,35847,25592,141276,61439,155337,44084,706,2291,10704,25241
310M400US27340,"Jacksonville, NC Metro Area",106570,3169,3169,7058,31625,28349,11005,17464,7900,96343,25364,146722,27738,1753,3952,3275,25261
