GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,City_Code,Population,City,State_Abbr,City_State,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value,State
310M400US14540,82404,44294,38110,93,0,2.8,0,2.1,2.1,51365,66125,3.9,"Bowling Green, KY Metro Area",177183,Bowling Green,KY,"Bowling Green,KY",112195,7114,8666,35843,22109,10032,16960,11471,96415,28431,149969,10127,190,6158,2653,8200,171300,Kentucky
310M400US40080,50544,25391,25153,91.2,0.1,3.2,0,0.5,5,50333,67265,4.3,"Richmond-Berea, KY Micro Area",108961,Richmond-Berea,KY,"Richmond-Berea,KY",68993,3395,5069,21699,13125,6210,11036,8459,60529,19495,100488,3984,164,958,811,2525,163800,Kentucky
310M400US21060,67253,36216,31037,95.5,0.5,0.6,0,0.9,2.5,51147,72890,4.6,"Elizabethtown-Fort Knox, KY Metro Area",152459,Elizabethtown-Fort Knox,KY,"Elizabethtown-Fort Knox,KY",101451,3267,7392,33535,25412,12420,10498,8927,90792,19425,125132,14557,945,3017,2762,7554,163600,Kentucky
310M400US23180,N,N,N,N,N,N,N,N,N,52134,67207,7.7,"Frankfort, KY Micro Area",73478,Frankfort,KY,"Frankfort,KY",50902,2724,2977,15713,11815,4817,7876,4980,45201,12856,62339,5370,0,698,1637,1978,155100,Kentucky
310M400US30460,259916,134981,124935,89.5,1.3,3.5,0.3,0.9,4.5,56784,81181,4.9,"Lexington-Fayette, KY Metro Area",516697,Lexington-Fayette,KY,"Lexington-Fayette,KY",341029,12592,19985,78730,69538,29854,75070,55260,308452,130330,413994,56501,734,13313,11892,31717,192000,Kentucky
310M400US30940,N,N,N,N,N,N,N,N,N,38753,52447,5.8,"London, KY Micro Area",128214,London,KY,"London,KY",84821,5966,9337,33392,15985,5507,7590,7044,69518,14634,124190,1133,559,251,132,644,123800,Kentucky
310M400US37140,N,N,N,N,N,N,N,N,N,47346,74130,3.4,"Paducah, KY-IL Micro Area",98658,Paducah,KY,"Paducah,KY",69070,1949,4785,23032,16837,7014,9287,6166,62336,15453,85756,9464,354,649,385,2175,125400,Kentucky
310M400US36980,53453,28188,25265,95.4,0.1,1.3,0.2,0.3,2.8,51459,67272,4,"Owensboro, KY Metro Area",119691,Owensboro,KY,"Owensboro,KY",80754,2002,5100,28743,19208,8200,10686,6815,73652,17501,108363,4455,177,1978,741,3325,142800,Kentucky
310M400US31140,630110,331151,298959,90.7,1.7,1.3,0.3,1.1,4.9,57405,79557,4.8,"Louisville/Jefferson County, KY-IN Metro Area",1296815,Louisville/Jefferson County,KY,"Louisville/Jefferson County,KY",900705,29270,62931,261615,194696,80125,164603,107465,808504,272068,1029065,188963,2501,27555,17784,64690,186300,Kentucky
310M400US16180,N,N,N,N,N,N,N,N,N,56160,83642,5.4,"Carson City, NV Metro Area",55414,Carson City,NV,"Carson City,NV",39809,2253,2258,8575,12423,5367,6416,2517,35298,8933,45870,1007,1132,2237,4497,13595,335400,Nevada
