GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,State,Population,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value
0400000US55,2956937,1539075,1417862,89.2,1.5,2.9,0.7,0.9,4.8,60773,79656,3.2,Wisconsin,5813568,3992022,108021,207198,1222475,817650,438602,775533,422543,3676803,1198076,4957243,370632,50364,165380,121475,403833,195900
0400000US72,980796,523251,457545,92.1,1.8,2.1,0.3,1.5,2.3,20296,32044,15.1,Puerto Rico,3195153,2288030,336242,178663,644702,276042,241678,430692,180011,1773125,610703,2079304,400936,4013,5144,551773,3154017,130600
0400000US20,1434639,767686,666953,91.3,0.5,2.2,0.3,1.0,4.8,58218,78972,3.8,Kansas,2911510,1911426,70905,101128,485753,436532,170965,402368,243775,1739393,646143,2446823,171141,26829,82444,73293,348443,173800
0400000US51,4221015,2232671,1988344,85.8,4.5,2.2,0.4,1.4,5.6,72577,100884,4.2,Virginia,8517685,5822007,229799,358586,1398061,1091538,453566,1296041,994416,5233622,2290457,5737580,1631512,22265,555422,215743,812810,302700
0400000US38,398691,218763,179928,90.9,0.7,3.4,0.2,1.0,3.7,63837,82435,2.8,North Dakota,760077,500779,16988,21520,129495,109451,74715,110664,37946,462271,148610,651687,25896,41270,13749,9569,27444,226000
0400000US34,4397527,2326827,2070700,79.0,11.7,2.6,0.3,1.8,4.7,81740,114853,4.9,New Jersey,8908520,6189243,290326,317170,1629398,1018104,409253,1535321,989671,5581747,2524992,5956539,1207995,21131,868213,604334,1839359,352700
0400000US39,5524421,2863349,2661072,90.6,1.6,2.2,0.3,0.9,4.4,56111,76151,4.9,Ohio,11689442,8027035,218264,528136,2625971,1638319,690735,1431014,894596,7280635,2325610,9470940,1446306,25672,271762,112136,455918,160800
0400000US45,2303417,1188927,1114490,90.9,0.6,2.1,0.2,1.3,5.0,52306,72742,5.3,South Carolina,5084127,3492355,125417,278074,1043630,701181,354718,627144,362191,3088864,989335,3407706,1353599,23672,80969,92980,294502,194100
0400000US13,4891031,2549645,2341386,88.8,2.0,1.5,0.2,1.6,5.9,58756,82489,4.8,Georgia,10519475,6978172,308720,557379,1942122,1383144,562774,1362317,861716,6112073,2224033,6127645,3319691,34485,436051,301148,1021754,208800
0400000US08,2963212,1598131,1365081,83.5,2.8,3.0,1.2,1.0,8.6,71953,96218,3.9,Colorado,5695564,3900287,127663,189453,812615,815752,329255,1013989,611560,3583171,1625549,4790677,237578,55146,180277,196831,1235127,383400
0400000US15,707479,376758,330721,82.0,5.7,3.7,0.7,2.6,5.4,80212,103162,3.8,Hawaii,1420491,995589,38532,41547,266728,204652,110557,218828,114745,915510,333573,345652,28325,3237,534479,18052,151356,643100
0400000US46,448044,233635,214409,89.8,0.2,2.8,0.3,0.6,6.2,56274,74046,3.0,South Dakota,882235,582850,16315,28842,180511,115946,70838,117943,52455,537693,170398,740870,19057,78068,15023,5782,33983,188800
0400000US18,3175022,1672752,1502270,91.8,0.9,1.9,0.4,1.1,3.9,55746,73733,4.4,Indiana,6691878,4467893,164472,327362,1480040,887129,397824,771811,439255,3976059,1211066,5539927,637277,14040,154220,162303,472419,153800
0400000US21,1964958,1037312,927646,91.8,1.0,2.0,0.1,1.1,4.1,50247,69724,5.2,Kentucky,4468402,3039414,160136,240928,990911,631690,261964,442090,311695,2638350,753785,3875023,354761,8470,65300,51887,161506,162800
0400000US22,1993979,1024445,969534,91.8,1.2,1.8,0.5,1.4,3.4,47905,69225,6.4,Louisiana,4659978,3125733,146205,296354,1071772,649675,203074,496634,262019,2683174,758653,2877115,1509407,25657,76255,65366,239954,184900
0400000US53,3659614,1984145,1675469,80.7,7.0,3.7,0.9,1.2,6.5,74073,99762,4.3,Washington,7535591,5215063,179951,257533,1133822,1197203,533450,1187508,725596,4777579,1913104,5633263,291808,97329,661781,344853,970353,385000
0400000US17,6191586,3252602,2938984,80.9,9.4,2.8,0.6,1.1,5.1,65030,91424,5.5,Illinois,12741080,8706376,403880,510902,2269285,1764774,704851,1833666,1219018,7791594,3052684,9135145,1793079,35846,717938,712778,2208868,219400
0400000US19,1588720,833975,754745,89.7,1.0,3.0,0.4,0.8,5.1,59955,77173,3.6,Iowa,3156145,2104792,64952,97697,649269,434337,247997,413442,197098,1942143,610540,2846099,115137,11494,79971,30713,191473,160700
0400000US33,713985,374104,339881,88.2,0.9,2.6,0.3,1.2,6.9,74991,97994,3.6,New Hampshire,1356458,970748,23689,42821,269202,178227,99230,217282,140297,904238,357579,1253931,23432,3562,36048,9013,52648,278600
0400000US44,519921,264846,255075,89.4,2.2,3.4,0.3,0.9,3.7,64340,86601,5.5,Rhode Island,1057315,740695,34642,45944,210606,133241,61601,147507,107154,660109,254661,852805,70749,4341,36064,59743,168341,274200
0400000US05,1301150,683585,617565,93.1,0.4,1.5,0.2,1.1,3.7,47062,66766,4.5,Arkansas,3013825,2021939,92515,166471,686867,450668,154143,296422,174853,1762953,471275,2306096,456714,20951,47548,84917,230300,148300
0400000US10,452707,232446,220261,88.7,2.2,2.4,0.3,0.8,5.7,64805,84896,5.7,Delaware,967171,679700,26223,42858,225797,120182,51648,124178,88814,610619,212992,659781,217594,4397,39023,19652,91975,267000
0400000US27,2922866,1515287,1407579,86.1,3.5,2.8,0.6,0.9,6.1,70315,93047,3.4,Minnesota,5611179,3809229,101742,151063,921287,791496,445513,920850,477278,3556424,1398128,4629375,367653,60983,273126,102814,308013,244800
0400000US30,514776,270377,244399,84.4,0.8,5.5,1.2,0.9,7.3,55328,72648,3.5,Montana,1062305,735761,13375,31704,205496,180384,71397,152448,80957,690682,233405,941438,5056,68013,8517,5828,41605,262400
0400000US04,3174586,1702542,1472044,87.1,1.7,1.7,0.8,1.9,6.8,59246,80477,5.4,Arizona,7171646,4840304,256545,349389,1159297,1208158,428422,898032,540461,4234370,1438493,5590505,336340,330599,237873,373688,2266342,256600
0400000US12,9608687,5040862,4567825,88.4,1.7,1.4,0.6,1.7,6.2,55462,79968,5.2,Florida,21299325,15302125,708872,1052860,4387954,3015699,1489510,2920459,1726771,13540393,4647230,15899574,3410741,59870,593634,708740,5562452,247000
0400000US25,3558966,1805575,1753391,77.2,10.2,5.1,0.9,1.3,5.3,79835,110501,4.8,Massachusetts,6902149,4832728,211206,235098,1126183,741544,366687,1178868,973142,4386424,2152010,5335175,537523,16198,472403,303331,846780,406900
0400000US11,378255,181599,196656,39.3,34.4,13.3,4.3,2.5,6.1,85203,124946,7.5,District of Columbia,702455,500176,16534,23094,82900,61530,13948,129782,172388,460548,302170,296747,319777,1932,27538,30897,79249,627000
0400000US49,1514189,843699,670490,86.9,2.2,2.4,0.7,1.0,6.9,71414,91096,3.2,Utah,3161105,1871902,47361,94721,423407,462160,191808,427561,224884,1729820,652445,2708195,40365,34678,75898,171456,450220,310000
0400000US36,9310791,4804841,4505950,59.4,28.0,6.0,0.7,1.4,4.5,67844,100422,5.0,New York,19542209,13672343,827890,929474,3546789,2083151,1193573,2846770,2244696,11914979,5091466,12375601,3069259,84312,1666113,1689845,3752523,341900
